ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9210526315789473,0.9163359788359788,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.8341403959394523
kNN,0.956140350877193,0.9788359788359788,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9054466190452621
Naive Bayes,0.9385964912280702,0.9877645502645502,0.9452054794520548,0.9583333333333334,0.9517241379310345,0.8675534786006366
Random Forest,0.9473684210526315,0.9937169312169313,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8869047619047619
SVM (Additional 6th Model),0.9824561403508771,0.9950396825396826,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
